Month,"Coal, Net Summer Capacity ","Petroleum, Net Summer Capacity","Natural Gas, Net Summer Capacity ","Fossil Fuels, Net Summer Capacity","Nuclear Electric Power, Net Summer Capacity","Hydroelectric Pumped Storage, Net Summer Capacity","Conventional Hydroelectric Power, Net Summer Capacity","Wood, Net Summer Capacity","Waste, Net Summer Capacity","Geothermal, Net Summer Capacity","Solar, Net Summer Capacity ","Wind, Net Summer Capacity","Renewable Energy, Net Summer Capacity ","Battery Storage, Net Summer Capacity","Total Electric, Net Summer Capacity"
1973-01-01,Not Available,Not Available,Not Available,Not Available,14.533,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01,Not Available,Not Available,Not Available,Not Available,14.533,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01,Not Available,Not Available,Not Available,Not Available,15.314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01,Not Available,Not Available,Not Available,Not Available,15.314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01,Not Available,Not Available,Not Available,Not Available,16.174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01,Not Available,Not Available,Not Available,Not Available,18.729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01,Not Available,Not Available,Not Available,Not Available,18.729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01,Not Available,Not Available,Not Available,Not Available,19.205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01,Not Available,Not Available,Not Available,Not Available,19.205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01,Not Available,Not Available,Not Available,Not Available,20.271,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-11-01,Not Available,Not Available,Not Available,Not Available,20.271,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-12-01,Not Available,Not Available,Not Available,341.245,22.683,Not Available,75.4,0.077,Not Available,0.396,Not Available,Not Available,75.873,Not Available,439.8
1974-01-01,Not Available,Not Available,Not Available,Not Available,22.683,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-02-01,Not Available,Not Available,Not Available,Not Available,23.735,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-03-01,Not Available,Not Available,Not Available,Not Available,23.675,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-04-01,Not Available,Not Available,Not Available,Not Available,24.201,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-05-01,Not Available,Not Available,Not Available,Not Available,25.461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-06-01,Not Available,Not Available,Not Available,Not Available,26.237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-07-01,Not Available,Not Available,Not Available,Not Available,26.237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-08-01,Not Available,Not Available,Not Available,Not Available,28.139,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-09-01,Not Available,Not Available,Not Available,Not Available,30.032,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-10-01,Not Available,Not Available,Not Available,Not Available,30.905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-11-01,Not Available,Not Available,Not Available,Not Available,31.356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-12-01,Not Available,Not Available,Not Available,360.661,31.867,Not Available,75.5,0.077,Not Available,0.396,Not Available,Not Available,75.973,Not Available,468.5
1975-01-01,Not Available,Not Available,Not Available,Not Available,32.692,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-02-01,Not Available,Not Available,Not Available,Not Available,34.516,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-03-01,Not Available,Not Available,Not Available,Not Available,34.516,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-04-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-05-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-06-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-07-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-08-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-09-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-10-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-11-01,Not Available,Not Available,Not Available,Not Available,36.163,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-12-01,Not Available,Not Available,Not Available,375.055,37.267,Not Available,78.4,0.077,Not Available,0.502,Not Available,Not Available,78.979,Not Available,491.3
1976-01-01,Not Available,Not Available,Not Available,Not Available,37.267,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-02-01,Not Available,Not Available,Not Available,Not Available,37.267,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-03-01,Not Available,Not Available,Not Available,Not Available,37.267,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-04-01,Not Available,Not Available,Not Available,Not Available,38.232,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-05-01,Not Available,Not Available,Not Available,Not Available,39.071,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-06-01,Not Available,Not Available,Not Available,Not Available,39.881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-07-01,Not Available,Not Available,Not Available,Not Available,39.881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-08-01,Not Available,Not Available,Not Available,Not Available,39.818,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-09-01,Not Available,Not Available,Not Available,Not Available,40.884,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-10-01,Not Available,Not Available,Not Available,Not Available,40.884,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-11-01,Not Available,Not Available,Not Available,Not Available,40.884,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976-12-01,Not Available,Not Available,Not Available,394.8,43.822,Not Available,78,0.077,Not Available,0.502,Not Available,Not Available,78.579,Not Available,517.2
1977-01-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-02-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-03-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-04-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-05-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-06-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-07-01,Not Available,Not Available,Not Available,Not Available,44.559,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-08-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-09-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-10-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-11-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977-12-01,Not Available,Not Available,Not Available,410.419,46.303,Not Available,78.6,0.077,Not Available,0.502,Not Available,Not Available,79.179,Not Available,535.9
1978-01-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-02-01,Not Available,Not Available,Not Available,Not Available,46.303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-03-01,Not Available,Not Available,Not Available,Not Available,47.403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-04-01,Not Available,Not Available,Not Available,Not Available,49.198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-05-01,Not Available,Not Available,Not Available,Not Available,49.198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-06-01,Not Available,Not Available,Not Available,Not Available,49.198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-07-01,Not Available,Not Available,Not Available,Not Available,49.198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-08-01,Not Available,Not Available,Not Available,Not Available,49.198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-09-01,Not Available,Not Available,Not Available,Not Available,49.966,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-10-01,Not Available,Not Available,Not Available,Not Available,49.966,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-11-01,Not Available,Not Available,Not Available,Not Available,49.966,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978-12-01,Not Available,Not Available,Not Available,420.798,50.824,Not Available,79.9,0.077,Not Available,0.502,Not Available,Not Available,80.479,Not Available,552.1
1979-01-01,Not Available,Not Available,Not Available,Not Available,50.627,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-02-01,Not Available,Not Available,Not Available,Not Available,50.627,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-03-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-04-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-05-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-06-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-07-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-08-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-09-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-10-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-11-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979-12-01,Not Available,Not Available,Not Available,432.109,49.747,Not Available,82.9,0.078,Not Available,0.667,Not Available,Not Available,83.645,Not Available,565.5
1980-01-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-02-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-03-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-04-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-05-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-06-01,Not Available,Not Available,Not Available,Not Available,49.747,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-07-01,Not Available,Not Available,Not Available,Not Available,50.895,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-08-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-09-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-10-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-11-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1980-12-01,Not Available,Not Available,Not Available,444.104,51.81,Not Available,81.7,0.078,Not Available,0.909,Not Available,Not Available,82.687,Not Available,578.6
1981-01-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-02-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-03-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-04-01,Not Available,Not Available,Not Available,Not Available,51.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-05-01,Not Available,Not Available,Not Available,Not Available,52.638,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-06-01,Not Available,Not Available,Not Available,Not Available,53.744,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-07-01,Not Available,Not Available,Not Available,Not Available,53.744,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-08-01,Not Available,Not Available,Not Available,Not Available,53.744,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-09-01,Not Available,Not Available,Not Available,Not Available,54.894,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-10-01,Not Available,Not Available,Not Available,Not Available,54.894,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-11-01,Not Available,Not Available,Not Available,Not Available,54.894,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-12-01,Not Available,Not Available,Not Available,458.871,56.042,Not Available,82.4,0.078,Not Available,0.909,Not Available,0,83.387,Not Available,598.3
1982-01-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-02-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-03-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-04-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-05-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-06-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-07-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-08-01,Not Available,Not Available,Not Available,Not Available,56.042,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-09-01,Not Available,Not Available,Not Available,Not Available,58.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-10-01,Not Available,Not Available,Not Available,Not Available,58.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-11-01,Not Available,Not Available,Not Available,Not Available,60.035,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1982-12-01,Not Available,Not Available,Not Available,469.558,60.035,Not Available,83,0.079,Not Available,1.022,Not Available,0.006,84.107,Not Available,613.7
1983-01-01,Not Available,Not Available,Not Available,Not Available,59.532,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1983-02-01,Not Available,Not Available,Not Available,Not Available,59.632,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
