Month,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector
1995-02-01,1.458,0.23,0.001,No Data Reported,99.519,14.684,0.115,7.263,121.582,123.271
1995-03-01,1.663,0.255,0.002,No Data Reported,122.772,16.011,0.142,7.865,146.789,148.709
1995-04-01,1.431,0.247,0.002,No Data Reported,142.472,16.45,0.131,7.621,166.674,168.353
1995-05-01,1.617,0.255,0.002,No Data Reported,116.187,15.591,0.11,7.436,139.323,141.198
1995-06-01,1.76,0.247,0.002,No Data Reported,108.699,16.222,0.139,7.097,132.157,134.165
1995-07-01,1.599,0.255,0.002,No Data Reported,170.075,16.535,0.104,6.649,193.363,195.219
1995-08-01,1.419,0.255,0.002,No Data Reported,175.706,16.725,0.086,6.35,198.866,200.543
1995-09-01,1.166,0.247,0.002,No Data Reported,147.99,16.214,0.116,6.527,170.847,172.262
1995-10-01,1.348,0.255,0.002,No Data Reported,164.079,16.939,0.154,6.887,188.059,189.663
1995-11-01,1.487,0.247,0.001,No Data Reported,143.796,16.576,0.18,6.493,167.044,168.78
1995-12-01,1.7,0.255,0.001,No Data Reported,138.289,16.696,0.138,7.449,162.573,164.529
1996-01-01,1.775,0.246,0.001,No Data Reported,150.617,18.169,0.135,6.936,175.858,177.879
1996-02-01,1.837,0.23,0.001,No Data Reported,112.15,17.516,0.118,5.528,135.312,137.38
1996-03-01,1.957,0.246,0.002,No Data Reported,133.725,18.883,0.116,6.09,158.814,161.018
1996-04-01,1.839,0.238,0.002,No Data Reported,92.937,17.998,0.092,5.194,116.22,118.3
1996-05-01,1.921,0.246,0.002,No Data Reported,115.939,18.592,0.08,3.883,138.494,140.663
1996-06-01,1.844,0.238,0.002,No Data Reported,135.763,18.611,0.058,2.895,157.327,159.411
1996-07-01,1.668,0.246,0.003,No Data Reported,155.741,19.354,0.056,3.245,178.395,180.311
1996-08-01,1.517,0.246,0.002,No Data Reported,174.206,18.448,0.069,3.902,196.626,198.391
1996-09-01,1.279,0.238,0.002,No Data Reported,139.243,18.438,0.064,4.204,161.949,163.468
1996-10-01,1.305,0.246,0.002,No Data Reported,173.718,19.489,0.093,6.458,199.758,201.311
1996-11-01,1.361,0.238,0.002,No Data Reported,165.468,18.701,0.106,6.106,190.381,191.981
1996-12-01,1.751,0.246,0.002,No Data Reported,133.991,19.352,0.101,6.455,159.899,161.897
1997-01-01,1.794,0.263,0.001,No Data Reported,163.338,15.107,0.106,6.244,184.795,186.853
1997-02-01,1.715,0.238,0.002,No Data Reported,121.914,14.174,0.112,5.949,142.149,144.103
1997-03-01,1.904,0.263,0.002,No Data Reported,137.828,15.349,0.123,6.845,160.145,162.315
1997-04-01,1.745,0.255,0.002,No Data Reported,137.73,15.394,0.111,6.09,159.325,161.327
1997-05-01,1.86,0.263,0.003,No Data Reported,146.532,15.916,0.115,7.726,170.289,172.416
1997-06-01,1.875,0.255,0.003,No Data Reported,122.31,15.154,0.096,5.746,143.306,145.438
1997-07-01,1.723,0.263,0.003,No Data Reported,142.009,15.687,0.131,7.205,165.032,167.02
1997-08-01,1.464,0.263,0.003,No Data Reported,149.617,15.724,0.1,5.326,170.766,172.497
1997-09-01,1.273,0.255,0.003,No Data Reported,140.745,14.812,0.112,6.606,162.274,163.804
1997-10-01,1.346,0.263,0.002,No Data Reported,181.433,15.776,0.156,7.635,204.999,206.611
1997-11-01,1.29,0.255,0.002,No Data Reported,150.249,15.189,0.122,6.402,171.962,173.509
1997-12-01,1.408,0.263,0.002,No Data Reported,136.909,15.733,0.158,8.156,160.956,162.628
1998-01-01,1.627,0.255,0.002,No Data Reported,165.432,14.753,0.136,8.316,188.638,190.521
1998-02-01,1.693,0.23,0.002,No Data Reported,114.738,13.649,0.11,6.001,134.498,136.423
1998-03-01,1.788,0.255,0.002,No Data Reported,130.789,15.328,0.126,6.536,152.778,154.824
1998-04-01,1.615,0.247,0.003,No Data Reported,130.48,14.876,0.109,7.458,152.923,154.787
1998-05-01,1.874,0.255,0.003,No Data Reported,137.186,15.609,0.098,6.298,159.19,161.322
1998-06-01,1.825,0.247,0.003,No Data Reported,86.18,14.488,0.105,6.846,107.619,109.694
1998-07-01,1.618,0.255,0.003,No Data Reported,135.324,15.325,0.11,6.678,157.438,159.313
1998-08-01,1.417,0.255,0.003,No Data Reported,141.795,15.333,0.118,6.946,164.192,165.868
1998-09-01,1.175,0.247,0.003,No Data Reported,138.035,14.818,0.121,7.37,160.345,161.77
1998-10-01,1.066,0.255,0.003,No Data Reported,150.992,15.546,0.139,7.538,174.215,175.539
1998-11-01,1.13,0.247,0.002,No Data Reported,124.421,14.491,0.124,7.598,146.634,148.012
1998-12-01,1.422,0.255,0.002,No Data Reported,148.068,16.127,0.158,8.867,173.22,174.898
1999-01-01,1.5,0.348,0.002,No Data Reported,158.133,14.234,0.099,8.164,180.629,182.479
1999-02-01,1.458,0.315,0.002,No Data Reported,117.506,13.225,0.083,6.57,137.384,139.158
1999-03-01,1.63,0.348,0.003,No Data Reported,103.329,14.425,0.088,7.541,125.383,127.364
1999-04-01,1.389,0.337,0.003,No Data Reported,134.499,14.279,0.081,8.162,157.021,158.751
1999-05-01,1.473,0.348,0.003,No Data Reported,168.155,14.825,0.082,7.41,190.471,192.296
1999-06-01,1.553,0.337,0.004,No Data Reported,125.859,14.327,0.09,6.109,146.385,148.279
1999-07-01,1.508,0.348,0.004,No Data Reported,151.814,14.541,0.077,6.083,172.516,174.376
1999-08-01,1.307,0.348,0.004,No Data Reported,146.262,14.379,0.088,7.291,168.02,169.679
1999-09-01,1.061,0.337,0.003,No Data Reported,133.033,14.056,0.088,7.618,154.795,156.197
1999-10-01,1.011,0.348,0.003,No Data Reported,116.339,14.422,0.11,8.229,139.1,140.462
1999-11-01,1.075,0.337,0.002,No Data Reported,142.292,14.012,0.113,7.713,164.13,165.545
1999-12-01,1.269,0.348,0.002,No Data Reported,122.299,14.316,0.127,8.945,145.687,147.307
2000-01-01,1.298,0.373,0.002,No Data Reported,110.736,12.182,0.107,8.227,131.251,132.924
2000-02-01,1.151,0.349,0.002,No Data Reported,135.08,11.688,0.089,7.767,154.624,156.126
2000-03-01,1.367,0.373,0.003,No Data Reported,142.302,12.704,0.109,8.296,163.411,165.154
2000-04-01,1.459,0.361,0.004,No Data Reported,135.61,12.391,0.094,8.501,156.596,158.419
2000-05-01,1.404,0.373,0.004,No Data Reported,131.749,12.94,0.108,8.496,153.293,155.074
2000-06-01,1.289,0.361,0.004,No Data Reported,118.167,11.933,0.082,7.518,137.7,139.354
2000-07-01,1.235,0.373,0.004,No Data Reported,138.327,12.367,0.1,8.471,159.264,160.876
2000-08-01,1.125,0.373,0.004,No Data Reported,141.327,12.237,0.111,7.513,161.187,162.689
2000-09-01,0.911,0.361,0.004,No Data Reported,129.924,11.804,0.102,7.967,149.797,151.073
2000-10-01,0.88,0.373,0.003,No Data Reported,151.706,12.323,0.122,8.804,172.955,174.211
2000-11-01,0.981,0.361,0.003,No Data Reported,147.994,11.786,0.121,8.465,168.367,169.711
2000-12-01,1.008,0.373,0.003,No Data Reported,153.004,10.755,0.127,9.153,173.039,174.423
2001-01-01,0.8,0.404,0.003,No Data Reported,127.304,11.505,0.261,9.15,148.221,149.428
2001-02-01,0.803,0.365,0.003,No Data Reported,112.969,9.636,0.211,8.318,131.134,132.305
2001-03-01,1.153,0.404,0.004,No Data Reported,120.59,10.827,0.225,8.96,140.603,142.164
2001-04-01,0.965,0.391,0.004,No Data Reported,118.698,11.018,0.187,8.259,138.161,139.522
2001-05-01,1.001,0.404,0.005,No Data Reported,114.282,10.195,0.197,8.548,133.223,134.633
2001-06-01,0.993,0.391,0.005,No Data Reported,116.261,9.912,0.146,8.474,134.793,136.182
2001-07-01,0.825,0.404,0.005,No Data Reported,120.904,10.275,0.259,8.889,140.327,141.561
2001-08-01,1.08,0.404,0.005,No Data Reported,124.827,10.141,0.177,8.999,144.145,145.634
2001-09-01,0.829,0.391,0.005,No Data Reported,117.453,10.014,0.205,8.884,136.555,137.78
2001-10-01,0.704,0.404,0.004,No Data Reported,127.141,11.01,0.275,9.582,148.009,149.121
2001-11-01,0.674,0.391,0.003,No Data Reported,120.21,12.044,0.222,9.713,142.188,143.257
2001-12-01,0.904,0.404,0.003,No Data Reported,122.004,12.019,0.224,9.821,144.068,145.38
2002-01-01,1.01,0.407,0.003,No Data Reported,118.659,12.782,0.238,10.692,142.371,143.79
2002-02-01,0.951,0.367,0.003,No Data Reported,104.031,11.306,0.224,8.752,124.314,125.635
2002-03-01,0.942,0.407,0.005,No Data Reported,108.38,12.991,0.195,10.128,131.693,133.046
2002-04-01,1.08,0.393,0.005,No Data Reported,110.12,11.791,0.232,9.668,131.811,133.29
2002-05-01,0.978,0.407,0.006,No Data Reported,118.53,11.821,0.247,10.227,140.825,142.215
2002-06-01,0.868,0.393,0.006,No Data Reported,110.709,11.54,0.224,9.456,131.93,133.198
2002-07-01,0.933,0.407,0.006,No Data Reported,125.42,11.897,0.261,10.133,147.711,149.056
2002-08-01,0.945,0.407,0.006,No Data Reported,112.156,12.003,0.259,10.727,135.146,136.504
2002-09-01,0.842,0.393,0.005,No Data Reported,120.524,11.548,0.26,11.082,143.414,144.656
2002-10-01,1.169,0.407,0.005,No Data Reported,129.523,12.364,0.313,12.606,154.805,156.386
2002-11-01,1.526,0.393,0.004,No Data Reported,116.471,12.968,0.356,12.672,142.467,144.39
2002-12-01,1.806,0.407,0.004,No Data Reported,121.91,13.332,0.336,13.912,149.49,151.706
2003-01-01,1.213,0.289,0.004,No Data Reported,113.792,12.733,0.319,13.831,140.674,142.18
2003-02-01,1.025,0.261,0.004,No Data Reported,104.245,11.553,0.379,11.911,128.089,129.379
2003-03-01,1.248,0.289,0.005,No Data Reported,112.633,12.394,0.32,13.662,139.01,140.552
2003-04-01,0.82,0.279,0.006,No Data Reported,111.776,12.188,0.361,13.546,137.871,138.977
2003-05-01,1.317,0.289,0.007,No Data Reported,112.284,11.42,0.361,13.652,137.717,139.329
2003-06-01,1.237,0.279,0.007,No Data Reported,110.785,11.118,0.344,13.687,135.935,137.458
2003-07-01,1.243,0.289,0.007,No Data Reported,119.299,11.875,0.352,13.911,145.438,146.977
2003-08-01,1.259,0.289,0.007,No Data Reported,116.178,11.864,0.386,14.062,142.49,144.045
2003-09-01,1.132,0.279,0.006,No Data Reported,111.622,11.333,0.343,14.304,137.602,139.02
2003-10-01,1.126,0.289,0.006,No Data Reported,115.275,12.03,0.39,14.666,142.361,143.782
2003-11-01,1.182,0.279,0.005,No Data Reported,113.224,11.666,0.439,14.608,139.937,141.404
2003-12-01,1.604,0.289,0.004,No Data Reported,122.2,12.265,0.458,16.16,151.084,152.981
2004-01-01,1.118,0.322,0.005,No Data Reported,128.754,11.258,0.506,16.247,156.764,158.209
2004-02-01,0.951,0.301,0.005,No Data Reported,117.029,10.862,0.496,15.265,143.651,144.908
2004-03-01,0.932,0.322,0.007,No Data Reported,121.099,11.288,0.496,16.487,149.371,150.631
2004-04-01,0.701,0.311,0.007,No Data Reported,124.813,10.944,0.509,16.182,152.448,153.467
2004-05-01,0.668,0.322,0.008,No Data Reported,117.007,11.286,0.523,17.005,145.821,146.819
2004-06-01,0.648,0.311,0.008,No Data Reported,120.129,10.831,0.552,16.487,147.999,148.967
2004-07-01,0.685,0.322,0.009,No Data Reported,126.944,11.069,0.505,16.738,155.256,156.271
2004-08-01,0.764,0.322,0.009,No Data Reported,124.177,11.089,0.518,17.303,153.088,154.182
2004-09-01,1.071,0.311,0.008,No Data Reported,118.135,10.567,0.521,16.78,146.002,147.392
2004-10-01,0.993,0.322,0.007,No Data Reported,125.56,10.96,0.547,17.377,154.445,155.767
2004-11-01,1.186,0.311,0.006,No Data Reported,120.565,10.722,0.536,17.226,149.048,150.552
2004-12-01,1.368,0.322,0.006,No Data Reported,131.524,11.053,0.574,17.928,161.079,162.775
2005-01-01,1.156,0.365,0.007,No Data Reported,127.135,12.82,0.546,18.242,158.743,160.271
2005-02-01,0.903,0.33,0.007,No Data Reported,122.158,11.384,0.477,16.74,150.76,152.0
2005-03-01,1.008,0.365,0.01,No Data Reported,122.08,12.628,0.523,18.41,153.642,155.025
2005-04-01,0.938,0.353,0.011,No Data Reported,117.803,12.14,0.493,17.445,147.882,149.184
2005-05-01,0.895,0.365,0.012,No Data Reported,119.992,12.606,0.539,17.988,151.125,152.398
2005-06-01,1.01,0.353,0.012,No Data Reported,117.153,12.253,0.581,18.246,148.233,149.609
2005-07-01,0.994,0.365,0.013,No Data Reported,123.168,12.568,0.583,19.576,155.895,157.267
2005-08-01,0.756,0.365,0.013,No Data Reported,123.183,12.551,0.622,19.681,156.036,157.171
2005-09-01,0.744,0.353,0.012,No Data Reported,117.868,12.633,0.565,19.17,150.236,151.345
2005-10-01,0.753,0.365,0.011,No Data Reported,121.426,12.184,0.62,20.377,154.607,155.736
2005-11-01,0.759,0.353,0.009,No Data Reported,117.1,12.009,0.625,20.191,149.924,151.046
2005-12-01,0.986,0.365,0.008,No Data Reported,122.664,12.473,0.668,21.21,157.014,158.374
2006-01-01,1.217,0.374,0.01,No Data Reported,133.346,11.466,0.632,21.529,166.972,168.572
2006-02-01,0.96,0.338,0.011,No Data Reported,115.318,10.193,0.586,20.389,146.487,147.795
2006-03-01,0.718,0.374,0.015,No Data Reported,121.681,10.868,0.657,22.491,155.697,156.804
2006-04-01,0.633,0.362,0.016,No Data Reported,117.896,10.469,0.682,20.879,149.926,150.937
2006-05-01,0.62,0.374,0.018,No Data Reported,119.977,11.101,0.814,21.908,153.8,154.811
2006-06-01,0.603,0.362,0.018,No Data Reported,118.931,10.282,0.902,22.985,153.1,154.082
2006-07-01,0.749,0.374,0.019,No Data Reported,126.547,10.909,0.844,23.606,161.906,163.048
2006-08-01,0.623,0.374,0.019,No Data Reported,124.91,10.83,0.882,24.685,161.308,162.323
2006-09-01,0.69,0.362,0.017,No Data Reported,121.235,10.41,0.871,24.325,156.841,157.91
2006-10-01,0.95,0.374,0.016,No Data Reported,124.735,10.952,0.93,25.342,161.959,163.298
2006-11-01,1.222,0.362,0.013,No Data Reported,121.281,10.824,0.912,25.171,158.188,159.785
2006-12-01,0.907,0.374,0.012,No Data Reported,126.541,11.28,0.955,27.037,165.813,167.106
2007-01-01,0.615,0.399,0.014,No Data Reported,121.366,14.391,0.768,27.612,164.137,165.166
2007-02-01,0.471,0.361,0.015,No Data Reported,110.343,13.152,0.702,25.643,149.84,150.687
2007-03-01,0.625,0.399,0.021,No Data Reported,117.994,14.563,0.771,28.26,161.587,162.632
2007-04-01,0.631,0.386,0.023,No Data Reported,118.14,11.711,0.731,27.842,158.425,159.465
2007-05-01,0.572,0.399,0.025,No Data Reported,118.094,11.318,0.785,29.889,160.086,161.082
2007-06-01,0.413,0.386,0.026,No Data Reported,114.863,10.856,0.796,29.84,156.356,157.181
2007-07-01,0.304,0.399,0.027,No Data Reported,120.962,11.126,0.836,31.119,164.043,164.773
2007-08-01,0.26,0.399,0.027,No Data Reported,117.532,11.149,0.842,32.305,161.827,162.513
2007-09-01,0.259,0.386,0.024,No Data Reported,114.022,10.746,0.808,31.875,157.452,158.121
2007-10-01,0.33,0.399,0.022,No Data Reported,118.599,11.969,0.92,33.814,165.302,166.053
2007-11-01,0.419,0.386,0.018,No Data Reported,117.047,11.66,0.912,34.623,164.242,165.065
2007-12-01,0.526,0.399,0.017,No Data Reported,124.061,12.142,0.97,36.262,173.434,174.377
2008-01-01,0.556,0.423,0.023,No Data Reported,133.218,12.432,0.794,37.589,184.033,185.036
2008-02-01,0.537,0.396,0.024,No Data Reported,111.711,12.74,0.82,36.34,161.612,162.57
2008-03-01,0.595,0.423,0.033,No Data Reported,114.036,12.703,0.848,41.019,168.606,169.658
2008-04-01,0.593,0.41,0.037,No Data Reported,113.977,11.869,0.927,40.15,166.922,167.962
2008-05-01,0.579,0.423,0.041,No Data Reported,113.965,11.607,0.959,43.897,170.428,171.471
2008-06-01,0.438,0.41,0.041,No Data Reported,109.009,10.661,0.97,41.328,161.967,162.857
2008-07-01,0.415,0.423,0.043,No Data Reported,111.747,11.577,1.029,44.584,168.936,169.818
2008-08-01,0.4,0.423,0.043,No Data Reported,109.825,11.202,1.044,46.965,169.036,169.902
2008-09-01,0.327,0.41,0.039,No Data Reported,104.63,10.752,1.034,45.272,161.688,162.464
2008-10-01,0.325,0.423,0.035,No Data Reported,109.975,12.398,1.088,46.927,170.389,171.173
2008-11-01,0.405,0.41,0.029,No Data Reported,106.589,12.4,1.028,47.138,167.154,167.999
2008-12-01,0.547,0.423,0.028,No Data Reported,100.054,12.782,1.104,47.583,161.523,162.521
2009-01-01,0.563,0.357,0.03,No Data Reported,96.513,13.924,0.969,45.326,156.732,157.682
2009-02-01,0.49,0.322,0.033,No Data Reported,91.23,12.293,0.836,42.211,146.57,147.415
2009-03-01,0.659,0.357,0.045,No Data Reported,96.027,13.717,0.965,46.505,157.214,158.275
2009-04-01,0.651,0.345,0.05,No Data Reported,91.803,12.419,1.015,44.802,150.039,151.085
2009-05-01,0.638,0.357,0.055,No Data Reported,94.761,12.188,1.116,48.631,156.697,157.746
2009-06-01,0.578,0.345,0.055,No Data Reported,95.648,11.806,1.084,48.882,157.419,158.398
2009-07-01,0.477,0.357,0.058,No Data Reported,102.356,12.283,1.161,52.947,168.748,169.639
2009-08-01,0.465,0.357,0.057,No Data Reported,105.113,12.356,1.165,53.56,172.194,173.073
2009-09-01,0.324,0.345,0.052,No Data Reported,99.822,11.994,1.079,51.433,164.328,165.05
2009-10-01,0.462,0.357,0.048,No Data Reported,102.801,13.805,1.185,54.314,172.104,172.971
2009-11-01,0.468,0.345,0.039,No Data Reported,99.839,13.774,1.17,55.853,170.635,171.487
2009-12-01,0.599,0.357,0.037,No Data Reported,102.457,13.809,1.187,58.131,175.583,176.575
2010-01-01,0.578,0.357,0.046,No Data Reported,117.826,14.753,1.283,58.769,192.63,193.611
2010-02-01,0.554,0.322,0.05,No Data Reported,108.51,13.023,1.204,54.611,177.349,178.275
2010-03-01,0.641,0.357,0.069,No Data Reported,118.792,14.46,1.323,60.806,195.381,196.447
2010-04-01,0.639,0.345,0.076,No Data Reported,113.941,14.52,1.333,58.262,188.055,189.116
2010-05-01,0.561,0.357,0.084,No Data Reported,115.531,13.613,1.41,60.243,190.798,191.8
2010-06-01,0.452,0.345,0.085,No Data Reported,115.927,13.039,1.438,58.83,189.234,190.117
2010-07-01,0.366,0.357,0.089,No Data Reported,119.887,13.747,1.448,61.011,196.093,196.905
2010-08-01,0.338,0.357,0.088,No Data Reported,120.531,13.688,1.445,61.912,197.576,198.359
2010-09-01,0.26,0.345,0.081,No Data Reported,118.543,12.79,1.366,60.189,192.887,193.573
2010-10-01,0.401,0.357,0.073,No Data Reported,118.699,14.905,1.45,63.042,198.095,198.926
2010-11-01,0.443,0.345,0.06,No Data Reported,117.205,14.839,1.403,63.625,197.072,197.92
2010-12-01,0.458,0.357,0.057,No Data Reported,123.608,14.801,1.458,65.275,205.142,206.014
2011-01-01,0.487,0.357,0.076,0.001,126.322,14.66,1.32,64.758,207.06,207.98
2011-02-01,0.545,0.322,0.082,0.001,112.012,13.395,1.29,57.526,184.222,185.173
2011-03-01,0.639,0.357,0.114,0.001,120.766,14.185,1.396,64.207,200.554,201.664
2011-04-01,0.628,0.345,0.126,0.001,115.095,12.687,1.321,60.515,189.617,190.717
2011-05-01,0.676,0.357,0.139,0.001,114.346,13.041,1.441,63.17,191.999,193.172
2011-06-01,0.512,0.345,0.141,0.001,119.729,12.814,1.477,62.05,196.07,197.07
2011-07-01,0.373,0.357,0.147,0.001,121.91,13.252,1.376,62.769,199.307,200.186
2011-08-01,0.327,0.357,0.146,0.001,121.916,13.347,1.524,63.739,200.526,201.357
2011-09-01,0.415,0.345,0.133,0.002,119.355,13.094,1.336,60.635,194.421,195.316
2011-10-01,0.43,0.357,0.121,0.002,118.367,14.785,1.421,63.884,198.456,199.366
2011-11-01,0.499,0.345,0.099,0.003,120.933,14.635,1.374,64.704,201.645,202.591
2011-12-01,0.606,0.357,0.094,0.003,126.887,14.787,1.46,67.742,210.876,211.935
2012-01-01,0.937,0.356,0.127,0.007,125.726,12.914,1.307,65.545,205.492,206.921
2012-02-01,0.82,0.333,0.138,0.006,118.018,12.816,1.303,60.18,192.317,193.614
2012-03-01,0.799,0.356,0.189,0.007,119.632,14.374,1.404,62.309,197.718,199.069
2012-04-01,0.609,0.344,0.209,0.007,114.624,13.054,1.38,59.597,188.655,189.824
2012-05-01,0.724,0.356,0.231,0.004,121.008,12.575,1.472,62.473,197.528,198.841
2012-06-01,0.596,0.344,0.233,0.005,119.114,11.836,1.433,59.964,192.347,193.525
2012-07-01,0.469,0.356,0.246,0.003,123.79,12.82,1.402,57.019,195.031,196.104
2012-08-01,0.518,0.356,0.243,0.003,125.004,12.796,1.512,58.937,198.249,199.368
2012-09-01,0.542,0.344,0.222,0.004,121.837,12.26,1.323,55.044,190.465,191.577
2012-10-01,0.656,0.356,0.202,0.007,122.907,14.383,1.461,56.339,195.09,196.31
2012-11-01,0.725,0.344,0.165,0.005,122.805,14.418,1.325,55.776,194.324,195.564
2012-12-01,0.635,0.356,0.156,0.008,127.779,14.658,1.367,57.689,201.494,202.648
2013-01-01,1.104,0.357,0.171,0.01,128.026,15.661,1.364,55.76,200.81,202.452
2013-02-01,1.239,0.322,0.184,0.008,114.991,14.174,1.262,50.623,181.051,182.805
2013-03-01,1.031,0.357,0.254,0.009,124.424,15.649,1.453,57.728,199.254,200.905
2013-04-01,0.854,0.345,0.281,0.009,119.039,16.009,1.455,57.686,194.188,195.677
2013-05-01,1.119,0.357,0.309,0.014,123.316,15.28,1.526,61.3,201.422,203.221
2013-06-01,1.12,0.345,0.313,0.009,123.461,14.603,1.52,60.28,199.863,201.65
2013-07-01,1.093,0.357,0.327,0.007,131.824,15.399,1.501,60.745,209.47,211.255
2013-08-01,0.82,0.357,0.324,0.006,127.947,15.556,1.497,59.328,204.328,205.835
2013-09-01,0.816,0.345,0.296,0.008,119.757,14.719,1.469,57.673,193.617,195.083
2013-10-01,0.815,0.357,0.27,0.012,123.096,16.49,1.533,63.174,204.291,205.745
2013-11-01,0.704,0.345,0.221,0.018,123.745,16.474,1.462,62.99,204.671,205.96
2013-12-01,1.1,0.357,0.21,0.017,129.384,17.161,1.512,66.344,214.401,216.085
2014-01-01,0.408,0.357,0.213,0.024,127.407,16.493,1.125,63.304,208.328,209.33
2014-02-01,0.354,0.322,0.226,0.015,115.528,15.204,1.065,56.76,188.557,189.474
2014-03-01,0.391,0.357,0.321,0.018,125.976,16.648,1.137,63.213,206.975,208.061
2014-04-01,0.432,0.345,0.351,0.02,121.088,17.002,1.16,62.303,201.552,202.7
2014-05-01,0.442,0.357,0.386,0.015,123.273,15.371,1.215,64.934,204.793,205.992
2014-06-01,0.341,0.345,0.39,0.011,124.514,14.967,1.191,64.444,205.116,206.203
2014-07-01,0.304,0.357,0.406,0.009,128.275,15.968,1.24,66.216,211.698,212.774
2014-08-01,0.328,0.357,0.402,0.007,129.735,14.936,1.234,64.528,210.433,211.525
2014-09-01,0.293,0.345,0.367,0.007,121.223,14.31,1.15,62.607,199.29,200.302
2014-10-01,0.319,0.357,0.347,0.016,124.645,16.541,1.246,64.549,206.982,208.02
2014-11-01,0.338,0.345,0.279,0.021,123.289,15.879,1.187,64.311,204.666,205.649
2014-12-01,0.426,0.357,0.257,0.015,130.046,16.707,1.218,69.306,217.277,218.332
2015-01-01,0.413,0.357,0.275,0.018,129.738,16.636,1.385,66.631,214.39,215.453
2015-02-01,0.357,0.322,0.294,0.015,116.126,14.558,1.308,60.029,192.022,193.01
2015-03-01,0.444,0.357,0.414,0.016,121.746,16.546,1.459,66.076,205.826,207.058
2015-04-01,0.47,0.345,0.449,0.018,121.028,15.971,1.397,62.596,200.991,202.273
2015-05-01,0.435,0.357,0.499,0.016,124.605,15.363,1.527,66.573,208.068,209.375
2015-06-01,0.389,0.345,0.498,0.012,121.134,14.929,1.493,66.661,204.217,205.462
2015-07-01,0.393,0.357,0.519,0.009,126.362,15.733,1.534,67.922,211.552,212.83
2015-08-01,0.308,0.357,0.51,0.009,126.709,15.214,1.544,66.85,210.317,211.5
2015-09-01,0.262,0.345,0.467,0.009,121.041,14.701,1.482,64.114,201.339,202.423
2015-10-01,0.39,0.357,0.432,0.018,120.135,16.885,1.494,67.022,205.536,206.733
2015-11-01,0.454,0.345,0.346,0.02,121.498,16.499,1.459,66.494,205.95,207.115
2015-12-01,0.494,0.357,0.322,0.021,125.765,17.284,1.468,69.602,214.119,215.314
2016-01-01,0.442,0.356,0.391,0.028,126.751,15,1.392,67.969,211.112,212.329
2016-02-01,0.394,0.333,0.431,0.025,118.51,14.516,1.421,64.31,198.757,199.941
2016-03-01,0.485,0.356,0.591,0.024,121.447,15.839,1.518,69.181,207.986,209.441
2016-04-01,0.438,0.344,0.644,0.022,115.26,14.925,1.407,63.034,194.626,196.074
2016-05-01,0.408,0.356,0.711,0.018,120.854,14.973,1.535,67.853,205.215,206.707
2016-06-01,0.337,0.344,0.713,0.016,121.133,12.94,1.535,68.115,203.723,205.133
2016-07-01,0.354,0.356,0.739,0.012,124.085,13.701,1.57,70.449,209.805,211.266
2016-08-01,0.315,0.356,0.724,0.01,124.402,13.727,1.591,71.346,211.066,212.471
2016-09-01,0.223,0.344,0.656,0.013,116.908,13.004,1.49,67.27,198.673,199.908
2016-10-01,0.301,0.356,0.602,0.019,119.521,15.063,1.514,69.421,205.517,206.795
2016-11-01,0.237,0.344,0.479,0.023,121.972,15.169,1.494,68.746,207.381,208.464
2016-12-01,0.398,0.356,0.44,0.032,142.932,15.568,1.573,73.126,233.2,234.425
2017-01-01,0.435,0.357,0.424,0.025,123.095,15.196,1.448,73.293,213.033,214.274
2017-02-01,0.395,0.322,0.474,0.028,112.149,13.685,1.344,65.312,192.49,193.708
2017-03-01,0.439,0.357,0.682,0.03,121.768,15.066,1.525,72.209,210.568,212.075
2017-04-01,0.51,0.345,0.74,0.028,115.38,14.391,1.496,66.121,197.389,199.013
2017-05-01,0.541,0.357,0.828,0.026,118.025,13.748,1.594,71.137,204.505,206.256
2017-06-01,0.44,0.345,0.839,0.023,120.825,12.437,1.594,68.766,203.622,205.269
2017-07-01,0.399,0.357,0.877,0.014,124.618,13.168,1.572,70.082,209.44,211.087
2017-08-01,0.316,0.357,0.856,0.013,125.509,13.335,1.636,72.959,213.439,214.98
2017-09-01,0.252,0.345,0.774,0.015,114.561,12.608,1.529,68.586,197.284,198.67
2017-10-01,0.269,0.357,0.697,0.028,119.457,14.255,1.585,72.006,207.303,208.654
2017-11-01,0.396,0.345,0.54,0.029,120.523,14.579,1.553,72.985,209.641,210.951
2017-12-01,0.326,0.357,0.479,0.029,126.414,15.067,1.548,73.698,216.728,217.919
2018-01-01,0.284,0.357,0.508,0.038,123.53,14.977,1.569,72.637,212.713,213.9
2018-02-01,0.305,0.322,0.539,0.031,110.725,13.524,1.335,66.229,191.813,193.009
2018-03-01,0.297,0.357,0.767,0.035,121.435,14.919,1.556,72.3,210.21,211.666
2018-04-01,0.347,0.345,0.836,0.029,114.696,14.13,1.457,68.477,198.76,200.318
2018-05-01,0.346,0.357,0.926,0.027,120.343,13.777,1.684,72.295,208.098,209.754
