Month,"Coal Commercial Sector, Net Summer Capacity","Petroleum Commercial Sector, Net Summer Capacity","Natural Gas Commercial Sector, Net Summer Capacity","Fossil Fuels Commercial Sector, Net Summer Capacity","Nuclear Commercial Sector, Net Summer Capacity","Hydroelectric Pumped Storage Commercial Sector, Net Summer Capacity","Conventional Hydroelectric Power Commercial Sector, Net Summer Capacity","Wood Commercial Sector, Net Summer Capacity","Waste Commercial Sector, Net Summer Capacity","Geothermal Commercial Sector, Net Summer Capacity ","Solar Commercial Sector, Net Summer Capacity","Wind Commercial Sector, Net Summer Capacity","Renewable Energy Commercial Sector, Net Summer Capacity ","Battery Storage Commercial Sector, Net Summer Capacity","Total Commercial Sector, Net Summer Capacity"
2016-07-01,0.202,0.521,1.98,2.703,No Data Reported,No Data Reported,0.075,0.067,0.718,No Data Reported,0.293,0.057,1.209,0.003,3.919
2016-08-01,0.202,0.521,1.98,2.703,No Data Reported,No Data Reported,0.075,0.067,0.716,No Data Reported,0.295,0.057,1.21,0.003,3.92
2016-09-01,0.202,0.521,1.98,2.703,No Data Reported,No Data Reported,0.075,0.067,0.716,No Data Reported,0.296,0.057,1.211,0.003,3.921
2016-10-01,0.202,0.521,1.976,2.7,No Data Reported,No Data Reported,0.075,0.067,0.716,No Data Reported,0.297,0.057,1.211,0.003,3.918
2016-11-01,0.202,0.511,1.976,2.69,No Data Reported,No Data Reported,0.075,0.067,0.716,No Data Reported,0.297,0.057,1.211,0.003,3.908
2016-12-01,0.202,0.511,1.983,2.696,No Data Reported,No Data Reported,0.075,0.067,0.707,No Data Reported,0.301,0.057,1.207,0.003,3.909
2017-01-01,0.202,0.59,2.006,2.798,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.304,0.061,1.234,0.003,4.043
2017-02-01,0.202,0.59,2.009,2.8,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.061,1.231,0.003,4.043
2017-03-01,0.202,0.59,2.009,2.8,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.062,1.233,0.003,4.045
2017-04-01,0.202,0.59,2.011,2.802,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.062,1.233,0.003,4.047
2017-05-01,0.202,0.59,2.011,2.802,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.062,1.233,0.003,4.047
2017-06-01,0.202,0.59,2.011,2.802,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.061,1.231,0.003,4.045
2017-07-01,0.202,0.59,2.029,2.821,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.061,1.231,0.003,4.064
2017-08-01,0.202,0.59,2.029,2.821,No Data Reported,No Data Reported,0.075,0.063,0.728,No Data Reported,0.304,0.061,1.231,0.003,4.063
2017-09-01,0.202,0.59,2.029,2.821,No Data Reported,No Data Reported,0.075,0.063,0.727,No Data Reported,0.304,0.061,1.23,0.003,4.062
2017-10-01,0.202,0.59,2.027,2.819,No Data Reported,No Data Reported,0.075,0.063,0.727,No Data Reported,0.304,0.061,1.23,0.003,4.06
2017-11-01,0.202,0.59,2.027,2.819,No Data Reported,No Data Reported,0.075,0.063,0.727,No Data Reported,0.31,0.061,1.235,0.003,4.066
2017-12-01,0.202,0.597,2.019,2.818,No Data Reported,No Data Reported,0.075,0.063,0.727,No Data Reported,0.312,0.061,1.237,0.003,4.066
2018-01-01,0.144,0.822,2.103,3.069,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.316,0.072,1.255,0.003,4.33
2018-02-01,0.144,0.822,2.103,3.069,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.316,0.072,1.255,0.003,4.331
2018-03-01,0.144,0.822,2.103,3.069,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.316,0.073,1.256,0.003,4.332
2018-04-01,0.144,0.823,2.186,3.153,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.315,0.073,1.255,0.003,4.421
2018-05-01,0.144,0.823,2.186,3.153,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.32,0.07,1.257,0.003,4.423
2018-06-01,0.144,0.823,2.186,3.153,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.323,0.07,1.26,0.003,4.426
2018-07-01,0.144,0.824,2.184,3.152,No Data Reported,No Data Reported,0.075,0.063,0.73,No Data Reported,0.323,0.073,1.263,0.003,4.428
2018-08-01,0.144,0.824,2.183,3.15,No Data Reported,No Data Reported,0.075,0.063,0.725,No Data Reported,0.323,0.073,1.259,0.003,4.423
2018-09-01,0.144,0.824,2.179,3.146,No Data Reported,No Data Reported,0.075,0.063,0.725,No Data Reported,0.325,0.073,1.262,0.003,4.421
2018-10-01,0.144,0.824,2.157,3.125,No Data Reported,No Data Reported,0.075,0.063,0.725,No Data Reported,0.325,0.073,1.262,0.003,4.4
2018-11-01,0.144,0.824,2.158,3.125,No Data Reported,No Data Reported,0.075,0.063,0.725,No Data Reported,0.325,0.073,1.262,0.003,4.4
2018-12-01,0.144,0.824,2.158,3.125,No Data Reported,No Data Reported,0.075,0.063,0.725,0.049,0.331,0.073,1.316,0.003,4.455
2019-01-01,0.123,0.858,2.221,3.202,No Data Reported,No Data Reported,0.075,0.063,0.714,0.049,0.358,0.073,1.333,0.012,4.557
2019-02-01,0.123,0.858,2.226,3.206,No Data Reported,No Data Reported,0.075,0.063,0.714,0.049,0.358,0.073,1.333,0.012,4.562
2019-03-01,0.123,0.858,2.227,3.208,No Data Reported,No Data Reported,0.075,0.063,0.65,0.049,0.359,0.073,1.27,0.012,4.501
2019-04-01,0.123,0.858,2.227,3.208,No Data Reported,No Data Reported,0.075,0.063,0.65,0.049,0.361,0.073,1.272,0.016,4.506
2019-05-01,0.123,0.858,2.237,3.218,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.361,0.073,1.274,0.016,4.518
2019-06-01,0.123,0.858,2.248,3.229,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.363,0.073,1.275,0.017,4.532
2019-07-01,0.123,0.858,2.248,3.229,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.374,0.073,1.286,0.03,4.557
2019-08-01,0.123,0.857,2.248,3.228,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.374,0.073,1.286,0.036,4.562
2019-09-01,0.123,0.858,2.248,3.229,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.374,0.073,1.286,0.036,4.563
2019-10-01,0.123,0.858,2.248,3.229,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.374,0.073,1.286,0.036,4.563
2019-11-01,0.123,0.858,2.249,3.23,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.38,0.073,1.292,0.036,4.569
2019-12-01,0.123,0.858,2.248,3.228,No Data Reported,No Data Reported,0.075,0.063,0.652,0.049,0.381,0.073,1.294,0.038,4.571
2020-01-01,0.061,0.876,2.342,3.278,No Data Reported,No Data Reported,0.074,0.063,0.643,0.049,0.376,0.068,1.274,0.04,4.602
2020-02-01,0.078,0.875,2.342,3.294,No Data Reported,No Data Reported,0.074,0.063,0.643,0.049,0.376,0.068,1.274,0.04,4.619
2020-03-01,0.078,0.875,2.342,3.294,No Data Reported,No Data Reported,0.074,0.063,0.643,0.049,0.381,0.068,1.278,0.04,4.623
2020-04-01,0.078,0.87,2.342,3.29,No Data Reported,No Data Reported,0.074,0.063,0.643,0.049,0.383,0.068,1.28,0.04,4.621
2020-05-01,0.078,0.87,2.333,3.281,No Data Reported,No Data Reported,0.074,0.063,0.643,0.049,0.383,0.068,1.28,0.04,4.612
2020-06-01,0.078,0.872,2.336,3.285,No Data Reported,No Data Reported,0.074,0.063,0.644,0.049,0.385,0.068,1.283,0.041,4.62
2020-07-01,0.078,0.875,2.337,3.29,No Data Reported,No Data Reported,0.074,0.063,0.64,0.049,0.385,0.068,1.279,0.041,4.621
2020-08-01,0.078,0.875,2.339,3.292,No Data Reported,No Data Reported,0.074,0.063,0.64,0.049,0.385,0.068,1.279,0.041,4.623
2020-09-01,0.078,0.876,2.34,3.294,No Data Reported,No Data Reported,0.074,0.063,0.64,0.049,0.385,0.068,1.279,0.041,4.625
2020-10-01,0.078,0.876,2.343,3.296,No Data Reported,No Data Reported,0.074,0.063,0.653,0.049,0.385,0.068,1.292,0.041,4.64
2020-11-01,0.078,0.876,2.344,3.297,No Data Reported,No Data Reported,0.074,0.063,0.653,0.049,0.385,0.068,1.292,0.041,4.641
2020-12-01,0.078,0.876,2.345,3.299,No Data Reported,No Data Reported,0.074,0.063,0.653,0.049,0.385,0.068,1.292,0.041,4.643
2021-01-01,0.078,0.915,2.216,3.209,No Data Reported,No Data Reported,0.087,0.137,0.689,0.049,0.393,0.068,1.424,0.041,4.68
2021-02-01,0.078,0.914,2.215,3.206,No Data Reported,No Data Reported,0.087,0.137,0.689,0.049,0.394,0.068,1.425,0.041,4.679
2021-03-01,0.078,0.914,2.216,3.207,No Data Reported,No Data Reported,0.087,0.137,0.689,0.049,0.396,0.068,1.427,0.041,4.681
2021-04-01,0.078,0.914,2.231,3.222,No Data Reported,No Data Reported,0.087,0.137,0.689,0.074,0.397,0.068,1.453,0.041,4.722
2021-05-01,0.078,0.914,2.238,3.229,No Data Reported,No Data Reported,0.087,0.137,0.689,0.074,0.397,0.068,1.453,0.041,4.728
2021-06-01,0.078,0.914,2.231,3.222,No Data Reported,No Data Reported,0.087,0.137,0.691,0.074,0.397,0.068,1.454,0.043,4.725
2021-07-01,0.078,0.917,2.23,3.224,No Data Reported,No Data Reported,0.087,0.137,0.691,0.074,0.407,0.068,1.464,0.043,4.737
2021-08-01,0.078,0.917,2.236,3.23,No Data Reported,No Data Reported,0.085,0.137,0.691,0.074,0.407,0.068,1.461,0.043,4.741
2021-09-01,0.078,0.916,2.251,3.245,No Data Reported,No Data Reported,0.085,0.137,0.691,0.074,0.407,0.068,1.461,0.043,4.756
2021-10-01,0.078,0.916,2.26,3.254,No Data Reported,No Data Reported,0.085,0.137,0.691,0.074,0.41,0.068,1.465,0.043,4.768
2021-11-01,0.078,0.916,2.266,3.26,No Data Reported,No Data Reported,0.085,0.137,0.681,0.074,0.413,0.068,1.458,0.045,4.769
2021-12-01,0.078,0.914,2.273,3.264,No Data Reported,No Data Reported,0.085,0.137,0.681,0.074,0.413,0.068,1.458,0.045,4.773
2022-01-01,0.049,0.956,2.317,3.322,No Data Reported,No Data Reported,0.085,0.137,1.281,No Data Reported,0.427,0.07,2,0.046,5.373
2022-02-01,0.049,0.956,2.348,3.352,No Data Reported,No Data Reported,0.085,0.137,1.281,No Data Reported,0.427,0.07,2,0.046,5.404
2022-03-01,0.049,0.956,2.366,3.37,No Data Reported,No Data Reported,0.085,0.137,1.281,No Data Reported,0.438,0.07,2.011,0.046,5.433
2022-04-01,0.049,0.956,2.365,3.369,No Data Reported,No Data Reported,0.085,0.137,1.273,No Data Reported,0.438,0.07,2.003,0.046,5.424
2022-05-01,0.048,0.958,2.365,3.371,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.442,0.07,2.01,0.046,5.432
2022-06-01,0.048,0.959,2.36,3.367,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.443,0.07,2.011,0.046,5.429
2022-07-01,0.048,0.959,2.36,3.367,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.443,0.07,2.011,0.046,5.429
2022-08-01,0.048,0.959,2.36,3.367,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.443,0.07,2.011,0.046,5.429
2022-09-01,0.048,0.954,2.354,3.356,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.443,0.07,2.011,0.046,5.419
2022-10-01,0.048,0.954,2.36,3.362,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.444,0.07,2.013,0.046,5.426
2022-11-01,0.048,0.956,2.366,3.369,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.444,0.07,2.013,0.047,5.435
2022-12-01,0.048,0.958,2.378,3.384,No Data Reported,No Data Reported,0.088,0.137,1.273,No Data Reported,0.444,0.07,2.013,0.047,5.45
2023-01-01,0.048,0.964,2.361,3.373,No Data Reported,No Data Reported,0.088,0.137,1.271,No Data Reported,0.444,0.07,2.01,0.048,5.437
2023-02-01,0.048,0.962,2.362,3.372,No Data Reported,No Data Reported,0.088,0.137,1.271,No Data Reported,0.444,0.07,2.01,0.048,5.437
2023-03-01,0.048,0.962,2.365,3.375,No Data Reported,No Data Reported,0.088,0.137,1.271,No Data Reported,0.444,0.069,2.009,0.048,5.438
2023-04-01,0.048,0.962,2.365,3.375,No Data Reported,No Data Reported,0.088,0.137,1.271,No Data Reported,0.444,0.069,2.009,0.049,5.439
2023-05-01,0.048,0.962,2.365,3.375,No Data Reported,No Data Reported,0.088,0.137,1.271,No Data Reported,0.444,0.069,2.009,0.049,5.439
2023-06-01,0.048,0.962,2.365,3.375,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.444,0.069,2.01,0.049,5.44
2023-07-01,0.048,0.962,2.365,3.375,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.444,0.069,2.01,0.049,5.44
2023-08-01,0.048,0.961,2.365,3.374,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.444,0.069,2.01,0.049,5.44
2023-09-01,0.048,0.961,2.363,3.372,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.443,0.069,2.009,0.049,5.437
2023-10-01,0.048,0.961,2.357,3.366,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.446,0.069,2.012,0.049,5.433
2023-11-01,0.048,0.96,2.356,3.364,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.446,0.069,2.012,0.049,5.431
2023-12-01,0.048,0.96,2.347,3.356,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.449,0.069,2.015,0.049,5.425
2024-01-01,0.048,0.96,2.346,3.354,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.45,0.069,2.016,0.049,5.426
2024-02-01,0.048,0.96,2.346,3.354,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.45,0.069,2.016,0.049,5.426
2024-03-01,0.048,0.96,2.345,3.353,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.45,0.069,2.016,0.049,5.424
2024-04-01,0.048,0.96,2.345,3.353,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.45,0.069,2.016,0.049,5.424
2024-05-01,0.048,0.96,2.395,3.403,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.451,0.069,2.017,0.049,5.476
2024-06-01,0.048,0.96,2.395,3.403,No Data Reported,No Data Reported,0.088,0.137,1.272,No Data Reported,0.451,0.069,2.017,0.049,5.476
2024-07-01,0.048,0.96,2.395,3.403,No Data Reported,No Data Reported,0.088,0.137,1.226,No Data Reported,0.451,0.069,1.971,0.049,5.429
2024-08-01,0.048,0.96,2.395,3.403,No Data Reported,No Data Reported,0.088,0.137,1.226,No Data Reported,0.451,0.069,1.971,0.049,5.429
2024-09-01,0.048,0.96,2.396,3.404,No Data Reported,No Data Reported,0.088,0.137,1.226,No Data Reported,0.451,0.069,1.971,0.049,5.43
